iter	Passed	Remaining
0	54	54599
1	71	35503
2	76	25523
3	84	21014
4	88	17691
5	93	15425
6	97	13820
7	102	12760
8	107	11787
9	109	10813
10	111	10014
11	116	9630
12	118	8998
13	122	8632
14	127	8374
15	131	8098
16	137	7935
17	139	7614
18	143	7422
19	146	7154
20	150	7014
21	155	6898
22	159	6771
23	163	6651
24	169	6595
25	173	6489
26	178	6440
27	183	6353
28	185	6203
29	189	6120
30	193	6050
31	198	6011
32	204	5979
33	208	5924
34	212	5870
35	217	5825
36	218	5686
37	218	5543
38	223	5504
39	224	5397
40	229	5373
41	234	5341
42	238	5308
43	242	5276
44	244	5186
45	248	5159
46	253	5132
47	257	5103
48	261	5074
49	266	5066
50	271	5046
51	273	4984
52	277	4963
53	282	4946
54	287	4936
55	289	4883
56	295	4884
57	301	4891
58	305	4868
59	310	4869
60	315	4858
61	319	4840
62	324	4820
63	328	4800
64	332	4786
65	337	4772
66	341	4752
67	347	4756
68	352	4757
69	356	4739
70	360	4723
71	365	4706
72	369	4689
73	374	4683
74	378	4666
75	384	4671
76	389	4671
77	393	4656
78	398	4651
79	404	4652
80	408	4638
81	413	4633
82	419	4630
83	423	4619
84	429	4618
85	433	4610
86	439	4609
87	443	4597
88	448	4594
89	452	4579
90	456	4564
91	461	4551
92	465	4536
93	470	4536
94	475	4525
95	479	4518
96	484	4506
97	489	4504
98	494	4504
99	499	4492
100	504	4487
101	509	4487
102	513	4473
103	517	4462
104	522	4450
105	526	4443
106	531	4431
107	535	4419
108	539	4413
109	544	4403
110	548	4393
111	552	4383
112	557	4373
113	562	4372
114	568	4372
115	572	4361
116	576	4352
117	581	4343
118	585	4335
119	590	4328
120	594	4320
121	600	4318
122	604	4313
123	610	4310
124	614	4303
125	619	4296
126	623	4289
127	628	4284
128	634	4283
129	639	4278
130	643	4269
131	649	4269
132	654	4268
133	659	4260
134	663	4250
135	668	4244
136	672	4235
137	676	4225
138	682	4224
139	686	4214
140	691	4212
141	695	4203
142	699	4194
143	703	4184
144	708	4175
145	712	4166
146	716	4158
147	720	4149
148	725	4141
149	730	4139
150	736	4139
151	741	4138
152	745	4129
153	750	4121
154	754	4112
155	759	4110
156	764	4102
157	768	4093
158	772	4084
159	776	4077
160	782	4075
161	786	4069
162	791	4064
163	796	4060
164	801	4056
165	806	4051
166	812	4052
167	816	4045
168	821	4041
169	826	4034
170	830	4025
171	835	4020
172	840	4018
173	844	4010
174	848	4001
175	854	3999
176	858	3992
177	864	3990
178	868	3983
179	872	3975
180	876	3967
181	880	3959
182	885	3951
183	890	3947
184	894	3941
185	899	3934
186	903	3927
187	907	3918
188	911	3912
189	917	3910
190	921	3903
191	925	3895
192	929	3887
193	933	3879
194	939	3877
195	943	3870
196	948	3868
197	953	3861
198	957	3854
199	961	3846
200	965	3838
201	969	3831
202	974	3825
203	978	3817
204	983	3813
205	988	3809
206	993	3804
207	998	3803
208	1004	3801
209	1009	3797
210	1013	3791
211	1018	3785
212	1022	3779
213	1027	3773
214	1031	3766
215	1035	3759
216	1039	3752
217	1044	3745
218	1048	3739
219	1052	3731
220	1056	3725
221	1060	3718
222	1065	3713
223	1069	3706
224	1073	3699
225	1078	3692
226	1082	3685
227	1086	3678
228	1090	3671
229	1094	3664
230	1100	3662
231	1104	3656
232	1108	3650
233	1112	3643
234	1117	3636
235	1121	3629
236	1125	3622
237	1130	3620
238	1135	3614
239	1139	3607
240	1143	3600
241	1147	3594
242	1151	3587
243	1155	3581
244	1160	3575
245	1164	3568
246	1168	3561
247	1172	3555
248	1177	3550
249	1181	3545
250	1187	3542
251	1192	3538
252	1196	3533
253	1201	3529
254	1207	3527
255	1212	3523
256	1216	3517
257	1220	3511
258	1225	3505
259	1229	3500
260	1233	3493
261	1238	3487
262	1242	3481
263	1246	3475
264	1250	3468
265	1256	3466
266	1260	3459
267	1264	3453
268	1268	3446
269	1273	3442
270	1278	3439
271	1282	3433
272	1288	3430
